cuenta_origen,cuenta_destino,monto,fecha
2233445566,5566778899,2486,14-10-2024
2233445566,1122334455,6207,19-10-2024
1122334455,0987654321,13245,29-04-2024
4455667788,2233445566,7057,19-12-2024
6677889900,7788990011,4136,13-06-2024
2233445566,5566778899,1344,17-06-2024
6677889900,1122334455,5263,26-07-2024
1122334455,0987654321,16196,08-05-2024
5566778899,1122334455,5445,08-05-2024
2233445566,5566778899,18040,12-09-2024
6677889900,2233445566,5877,30-06-2024
7788990011,2233445566,13051,07-05-2024
2233445566,6677889900,19580,08-05-2024
5566778899,0987654321,13883,21-08-2024
4455667788,6677889900,2393,05-07-2024
7788990011,2233445566,10985,05-11-2024
2233445566,1122334455,5382,30-10-2024
7788990011,1234567890,5099,27-07-2024
5566778899,4455667788,8483,20-07-2024
2233445566,0987654321,3469,19-06-2024
1234567890,2233445566,5684,28-09-2024
7788990011,4455667788,9807,11-08-2024
1234567890,2233445566,11499,21-11-2024
1122334455,1234567890,2165,05-12-2024
2233445566,0987654321,9379,23-09-2024
6677889900,7788990011,5861,21-09-2024
5566778899,6677889900,11407,28-11-2024
0987654321,7788990011,15444,22-11-2024
7788990011,4455667788,9820,03-05-2024
1234567890,6677889900,4775,06-10-2024
7788990011,1234567890,10984,30-06-2024
4455667788,1122334455,10591,01-05-2024
5566778899,0987654321,18935,16-10-2024
4455667788,7788990011,13193,14-05-2024
5566778899,2233445566,5745,17-05-2024
7788990011,5566778899,15763,24-11-2024
0987654321,2233445566,16224,25-08-2024
1122334455,6677889900,7310,23-08-2024
6677889900,2233445566,15592,28-11-2024
1234567890,2233445566,18019,13-09-2024
7788990011,4455667788,1190,24-09-2024
6677889900,1234567890,9948,18-07-2024
4455667788,1122334455,10730,05-08-2024
1234567890,0987654321,16536,02-11-2024
0987654321,1234567890,4788,10-05-2024
5566778899,7788990011,13555,23-05-2024
6677889900,5566778899,10418,07-11-2024
4455667788,6677889900,11643,09-05-2024
6677889900,1122334455,1402,12-08-2024
2233445566,1234567890,17253,24-08-2024
4455667788,7788990011,6931,24-08-2024
4455667788,2233445566,6462,25-09-2024
4455667788,5566778899,19264,08-08-2024
7788990011,0987654321,17972,05-06-2024
4455667788,0987654321,7751,26-06-2024
0987654321,4455667788,18797,13-05-2024
5566778899,4455667788,3070,08-09-2024
4455667788,0987654321,18470,06-09-2024
5566778899,7788990011,8652,08-09-2024
0987654321,1122334455,9991,28-05-2024
1122334455,1234567890,15422,20-09-2024
2233445566,1122334455,1175,04-12-2024
1234567890,2233445566,19805,02-06-2024
6677889900,7788990011,8884,26-05-2024
4455667788,2233445566,6402,10-12-2024
2233445566,1234567890,15645,22-11-2024
7788990011,0987654321,15367,23-08-2024
7788990011,1122334455,9916,18-05-2024
7788990011,2233445566,15231,11-06-2024
6677889900,2233445566,3555,18-09-2024
1122334455,4455667788,14387,15-10-2024
7788990011,4455667788,5889,03-06-2024
6677889900,1234567890,17937,29-09-2024
7788990011,1234567890,13426,18-11-2024
5566778899,1234567890,16651,11-06-2024
6677889900,1122334455,18998,01-07-2024
7788990011,2233445566,12570,23-12-2024
4455667788,6677889900,15459,17-10-2024
1234567890,0987654321,2134,20-10-2024
7788990011,1122334455,10514,28-06-2024
0987654321,4455667788,17708,31-08-2024
0987654321,6677889900,15734,07-06-2024
4455667788,6677889900,16437,17-06-2024
4455667788,7788990011,3047,23-06-2024
5566778899,1234567890,15309,15-12-2024
6677889900,1234567890,16809,13-07-2024
6677889900,7788990011,1029,06-08-2024
7788990011,4455667788,11087,21-10-2024
1234567890,5566778899,3482,04-09-2024
4455667788,2233445566,10142,17-08-2024
7788990011,0987654321,17659,10-08-2024
4455667788,6677889900,2938,22-09-2024
1122334455,7788990011,4351,17-06-2024
7788990011,1234567890,6240,09-07-2024
0987654321,2233445566,9243,24-09-2024
5566778899,1234567890,14084,18-07-2024
1234567890,5566778899,17555,08-08-2024
0987654321,5566778899,13924,28-07-2024
0987654321,6677889900,2505,10-08-2024
0987654321,2233445566,7611,26-10-2024
2233445566,4455667788,14734,15-07-2024
1234567890,0987654321,2875,19-07-2024
5566778899,1234567890,1514,03-08-2024
1234567890,5566778899,2676,14-10-2024
1234567890,7788990011,13451,27-08-2024
6677889900,1122334455,12981,08-11-2024
4455667788,5566778899,11627,24-11-2024
1122334455,7788990011,19811,14-06-2024
6677889900,4455667788,12408,08-06-2024
1122334455,1234567890,6166,27-09-2024
4455667788,2233445566,19817,16-10-2024
2233445566,7788990011,9304,31-10-2024
2233445566,7788990011,15555,28-07-2024
6677889900,7788990011,16468,14-05-2024
1234567890,2233445566,16692,16-08-2024
0987654321,2233445566,10334,19-07-2024
1234567890,7788990011,2601,10-10-2024
5566778899,4455667788,11304,20-06-2024
1234567890,6677889900,7679,13-09-2024
5566778899,1234567890,15480,16-05-2024
4455667788,0987654321,19963,21-11-2024
0987654321,6677889900,4749,14-09-2024
1234567890,0987654321,6178,17-11-2024
1122334455,7788990011,16950,04-12-2024
1122334455,7788990011,1381,16-12-2024
7788990011,4455667788,17264,16-09-2024
5566778899,1122334455,12344,17-08-2024
7788990011,1234567890,12238,18-11-2024
5566778899,4455667788,16842,10-07-2024
4455667788,0987654321,8516,15-07-2024
6677889900,5566778899,3838,17-11-2024
1234567890,4455667788,18224,26-06-2024
1234567890,0987654321,19802,09-07-2024
7788990011,1234567890,10638,28-10-2024
7788990011,4455667788,17658,14-11-2024
6677889900,4455667788,13595,01-09-2024
4455667788,0987654321,2263,16-08-2024
1234567890,4455667788,16361,12-12-2024
6677889900,7788990011,16501,04-11-2024
1234567890,0987654321,13027,23-07-2024
1122334455,6677889900,2635,28-05-2024
2233445566,0987654321,8568,22-05-2024
1122334455,5566778899,5581,02-05-2024
7788990011,4455667788,10193,19-07-2024
1122334455,6677889900,17457,29-06-2024
1122334455,1234567890,10700,26-06-2024
0987654321,7788990011,16248,09-07-2024
2233445566,5566778899,14417,14-05-2024
1234567890,2233445566,18603,17-09-2024
2233445566,6677889900,18181,20-08-2024
6677889900,1234567890,5644,25-06-2024
5566778899,1234567890,13977,02-07-2024
4455667788,1122334455,16909,04-09-2024
6677889900,7788990011,1260,25-09-2024
1122334455,0987654321,15035,14-12-2024
6677889900,1234567890,15973,19-05-2024
1122334455,4455667788,2480,22-08-2024
1234567890,7788990011,1449,03-09-2024
6677889900,1234567890,10065,30-07-2024
7788990011,4455667788,18184,06-08-2024
0987654321,7788990011,11424,27-09-2024
0987654321,2233445566,7112,21-05-2024
6677889900,1122334455,9414,03-11-2024
0987654321,1234567890,18179,27-09-2024
2233445566,4455667788,7295,30-11-2024
2233445566,0987654321,10225,06-12-2024
1122334455,1234567890,7711,11-10-2024
0987654321,7788990011,10130,23-07-2024
